;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang-r;lang-t;lang
169;4053415215;5;Top;2019-04-24T09:27:32Z;Moimoimoimoisonic;Top;;;;en;;en
120;4008904321;5;Very useful;2019-04-13T22:43:21Z;matt__matt__;Useful to be aware of air pollution;;;;en;;en
121;3931732668;5;Useful;2019-03-27T05:34:48Z;paulyndi;Like it really useful;;;;en;;en
333;3837460260;5;Top;2019-03-03T14:05:25Z;mkywt;Very usefull and seems to be accurate.;;;;en;;en
327;3826779785;5;Super;2019-03-01T05:05:00Z;Uwmye;Really useful. I use it almost every day;;;;en;;en
318;3809470036;5;Easy to use;2019-02-24T14:26:10Z;JG0501;Very Easy to use and get an idea of the pollution of the day;;;;en;;en
314;3795751480;5;Exactly what you need;2019-02-21T07:29:19Z;Ber pas;For those like me In China , willing to know the pollution rate outside. Proper and design and easy to use;;;;en;;en
146;3774611607;5;V;2019-02-16T02:26:05Z;Gold D Reo;Very good application;;;;en;;en
296;3618441868;5;Saved me from particles;2019-01-06T09:44:38Z;D. Robin;"Didn’t knew that some districts of Seoul were that much over polluted in some hours; helped me get ride of it with my mask... with accurate data; really nice ~";;;;en;;en
111;3543344970;5;Very good;2018-12-18T03:59:06Z;defnosh;Correct polution information;;;;en;;en
232;3477944358;5;Cool;2018-11-30T16:34:40Z;iikoo74;Juste efficace;;;;en;;en
305;3281832236;5;Very useful and accurate;2018-10-09T13:02:00Z;Jean Beut;Accurate, simple access, intuitive and show reality on live;;;;en;;en
127;3227339647;5;Good app - very interesting;2018-09-25T05:32:15Z;AngelRoxy13;Good app;;;;en;;en
311;3224271764;5;Useful apps;2018-09-24T07:59:01Z;Florans xx;Great apps with good explanations on dangers. One thing could be improved is the way the overall index is calculated.;;;;en;;en
295;3150491067;5;Good!;2018-09-04T01:38:21Z;Cedric Rexo;Simple and efficient.;;;;en;;en
315;3030236987;5;Really useful and nice design!;2018-08-07T11:23:59Z;Cony2ka;Love it all the info you need to know the quality of the air;;;;en;;en
163;2981171608;5;top !!;2018-07-28T06:38:57Z;low75005;top !!;;;;en;;en
128;2960662284;5;Love it!;2018-07-24T11:13:45Z;eto_shanghai;Living in a polluted city as Shanghai, this is a must;;;;en;;en
291;2770131042;5;Clear and straightforward;2018-06-26T00:31:49Z;Fabrice G..;If you are looking for an app to check the air quality at home, work or when you travel ... this is the app. Simple to use and clear info provided !!;;;;en;;en
123;2684912665;5;Clear and good cover of Asian countries;2018-06-13T02:57:03Z;MatteoSD;Clear and good cover of Asian countries;;;;en;;en
316;2607355836;5;Perfect!;2018-05-28T11:14:08Z;lequeltuveux;"Very good app. 
Finally an app with air quality forecast! And 7 days forecast. Also a nice and convenient widget. Great app!";;;;en;;en
129;2477048312;5;Very useful;2018-04-28T03:43:52Z;gulit131;Very good app.;;;;en;;en
290;2447086464;5;Excellent;2018-04-20T23:23:00Z;Phil Phprint;Before, despite the cleaner at home, I wasn’t very sure about the quality of my air inside. Now I have my data, and data I can trust and I can monitor them wherever I am and decide the action to take quickly.;;;;en;;en
323;2386175054;5;Simply the best air quality app around;2018-04-05T10:17:59Z;GreenCac40;Simply the best air quality app around;;;;en;;en
312;2358937816;5;Very helpful;2018-03-29T10:49:32Z;Aprrr;This app has become indispensable for me. Hope to see greener screens in the days to come!;;;;en;;en
331;2319320736;5;Chaslin;2018-03-18T12:02:48Z;pierbreiz;You should publish on Facebook . The government here hides this information .;;;;en;;en
309;2187306116;5;Very useful;2018-02-09T16:10:24Z;ZaGreg;I use the app almost each time I am planning outdoor activities in Warsaw and I find it very useful.;;;;en;;en
308;2147395276;5;Indispensable tool in China!!!;2018-01-31T00:28:34Z;Delf69;When you have to decide wether or not you should go out and play tennis or football;;;;en;;en
306;1784647816;5;Fantastic;2017-09-11T06:36:07Z;Vinc7578;"Choosing my ways using this application
Maybe also the place i will live";;;;en;;en
324;1553330499;5;Simple and always update;2017-02-26T23:43:46Z;Pascalbiz;Great apps, always updated and good looking logs;;;;en;;en
303;1544703940;5;Very good;2017-02-15T04:44:44Z;The man of Shanghai;Very convenient if you're in China but also possible to check other cities around the world;;;;en;;en
126;1495198307;5;Very good app;2016-12-03T12:09:09Z;aldericd;Nice and easy;;;;en;;en
210;1388677849;5;Essential!!;2016-06-04T06:59:09Z;Ronan1212;Thanks to the features of AirVisual, I know the exact situation of the air pollution before going out, but better, I can anticipate my activities outside home. User friendly, accurate and with a growing number of measurements in the world... A must! Thank you AirVisual team!;;;;en;;en
212;1349877465;5;Very good app;2016-03-18T23:36:18Z;Bsieff;"Very easy to use and read. One of the few app to have forecast.
Many station around the world.";;;;en;;en
188;1300241916;5;Informative and easy to customize;2015-12-13T23:28:36Z;Fraise - Anna S.;Map view makes it simple to locate nearby stations, and favorites are easy to organize. Air quality is instantly visible and understandable thanks to color-coded icons and pollution measurement types - PM2.5, PM10, O3, all depending on the chosen station. Very informative, I check it every day.;;;;en;;en
213;1280699702;5;Nice work;2015-11-02T01:48:50Z;Denis747;This is going to be very useful to me, thanks!;;;;en;;en
302;5977414552;4;Very useful;2020-05-22T04:02:32Z;Mattiouz;"Very useful but improvements would be required for better user experience (like location detection sometimes is lagging etc)

Anyway, I absolutely need it in Seoul !";;;;en;;en
144;5865253536;4;Top .. the best app;2020-04-26T06:46:57Z;Nicepremier;Very useful;;;;en;;en
320;5424560629;4;Estelle2029;2020-01-19T20:49:21Z;estelle2029;Good indication but sometimes tricky as close locations have big variations that aren’t so easy to explain;;;;en;;en
117;5315908030;4;Great everyday app!!;2019-12-25T04:27:08Z;alexandrelgl;How to check how accurate it is ??!;;;;en;;en
